"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","political_orientation","race","hispanic","education","age","gender","zip","which_stim","year","month","day","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code"
0,"Control",0.863718820861679,1,1,1,1.17291967291967,2.15221088435374,1,"1",2,5,56,1,"18603",2,2025,4,15,"Forehead",0,"Eyeglasses",0,"Facial hair",0,"Hairline",1
0.5,"Incriminating",1.98871882086168,1,1,2,1.92291967291967,1.1343537414966,3,"1",2,5,31,2,"58801",4,2025,4,15,"hair style",0,"nasolabial folds",0,"ear size",1,"fashion sense",0
0,"Control",-0.761281179138321,2,1,2,0.422919672919673,1.65221088435374,1.66666666666667,"1",2,6,51,2,"11366",3,2025,4,15,"curry hair",0,"same eyes",0,"same length of neck",0,"ears has Bluetooth",1
0.5,"Incriminating",2.11371882086168,2,2,2,1.67291967291967,0.652210884353741,1.66666666666667,"2",2,6,34,2,"99301",1,2025,4,15,"hair",0,"eyes",0,"nose",0,"mouth shape",0
0,"Control",-0.261281179138321,1,0,2,-0.160413660413661,0.527210884353741,-1,"2",2,5,27,1,"79382",4,2025,4,15,"1",1,"1",1,"1",0,"1",0
0,"Control",-2.51128117913832,0,-2,-2,0.0895863395863392,-1.22278911564626,-3,"1",2,3,48,2,"75169",1,2025,4,15,"nose",1,"mouth",1,"eyes",1,"eyebrows",1
0.5,"Incriminating",1.11371882086168,1,1,2,0.256253006253006,1.15221088435374,-2.66666666666667,"2",2,6,23,2,"77008",4,2025,4,15,"nose bridge",0,"long hair",0,"jaw angles",1,"cheeks shape",0
-0.5,"Exonerating",-0.386281179138321,-1,0,2,-1.57708032708033,-0.972789115646259,0,"1",2,2,34,2,"37363",1,2025,4,15,"Hair/ Facial and Top of head",0,"Eyes",0,"Lips",1,"eyebrows",1
0,"Control",0.488718820861679,1,2,1,0.422919672919673,-0.972789115646259,-1,"1",2,5,21,2,"07008",2,2025,4,15,"mouth shape",0,"nose bridge angle",0,"eye width",0,"hair shape",0
0.5,"Incriminating",0.738718820861679,0,0,-1,-2.74374699374699,-1.34778911564626,-3,"1",2,3,76,1,"92056",2,2025,4,15,"Beard",0,"Nose",1,"Eyes distance",0,"Mouth shape",1
0.5,"Incriminating",-2.63628117913832,-2,2,2,-2.82708032708033,-1.34778911564626,-4,"6",1,2,30,4,"47404",2,2025,4,15,"nose shape",0,"facial hair",0,"wrinkles",0,"eye wear",0
0,"Control",0.613718820861679,1,0,0,-1.24374699374699,-1.34778911564626,-1.66666666666667,"2",2,4,26,2,"38614",3,2025,4,15,"Hair",0,"Eyes",1,"Nose",0,"Mouth",1
0,"Control",-0.261281179138321,1,0,1,0.00625300625300618,0.527210884353741,0,"2",2,2,58,1,"34683",3,2025,4,15,"jaw line",1,"nose",1,"lips",0,"eyes",0
0,"Control",1.36371882086168,1,2,3,1.92291967291967,-0.597789115646259,2,"1",2,2,27,1,"34601",2,2025,4,15,"eyes",0,"mouth shape",0,"nose bridge angle",0,"glasses",0
0.5,"Incriminating",0.363718820861679,0,1,1,1.42291967291967,0.777210884353741,0.33333333333333,"6",2,6,45,2,"11211",1,2025,4,15,"hair",0,"beards",0,"nose",0,"eyes",1
0.5,"Incriminating",-1.38628117913832,1,1,2,-0.243746993746994,-0.347789115646259,0,"1",2,2,40,2,"98052",3,2025,4,15,"cheek bones",0,"mouth",0,"eye width apart",1,"eye brows",0
0,"Control",0.613718820861679,2,1,2,1.67291967291967,1.02721088435374,-1.33333333333333,"1",2,5,57,1,"98118-6229",2,2025,4,15,"Both are wearing glasses",0,"Both are bearded",0,"Both have tiers",0,"Our guy is serious",1
-0.5,"Exonerating",0.613718820861679,2,1,1,-0.243746993746994,0.902210884353741,-4,"1",2,6,NA,2,"27007",2,2025,4,15,"nose bridge angle",0,"eye width apart",0,"mouth shape",0,"eye width apart",1
0,"Control",0.363718820861679,1,0,1,-0.493746993746994,-0.472789115646259,-2,"1",2,6,32,1,"31021",4,2025,4,15,"shape of ears",1,"eye formation",1,"hair style",0,"eye brows shape",0
0,"Control",1.73871882086168,2,2,2,0.922919672919673,0.777210884353741,0,"1",2,5,36,1,"20001",4,2025,4,15,"eyes",0,"nose",0,"hair",0,"ears",0
0.5,"Incriminating",3.98871882086168,1,2,3,1.25625300625301,-1.72278911564626,4,"2",2,5,20,2,"33701",1,2025,4,15,"neck size",0,"head shape",0,"hair design",0,"facial appearance",0
-0.5,"Exonerating",-1.63628117913832,-2,-2,-2,-3.41041366041366,-1.72278911564626,-4,"1",2,3,39,1,"33837",1,2025,4,15,"eye shape",1,"mouth shape",1,"nose shape",1,"eyebrow shape",1
0,"Control",-3.88628117913832,4,2,3,0.839586339586339,1.02721088435374,1.33333333333333,"1",2,4,37,1,"66614",2,2025,4,15,"glasses",0,"beard",0,"hair",0,"forehead",0
-0.5,"Exonerating",-0.261281179138321,-3,1,2,-0.493746993746994,-0.472789115646259,-1.33333333333333,"2",2,5,34,1,"72758",3,2025,4,15,"nose bride",0,"lips",1,"eyes",0,"face structure",0
-0.5,"Exonerating",0.988718820861679,2,2,2,1.58958633958634,0.652210884353741,0,"1",2,6,49,2,"32210",2,2025,4,15,"eye width apart",0,"mouth shape",0,"nose bridge",0,"eye width apart",0
0.5,"Incriminating",2.86371882086168,4,1,2,0.256253006253006,-1.72278911564626,4,"1",2,5,34,1,"78705",1,2025,4,15,"eye",0,"nose",0,"mouth",1,"hair style",0
0,"Control",-3.26128117913832,1,0,1,-3.74374699374699,-1.72278911564626,-4,"1",2,4,48,2,"50703",3,2025,4,15,"noses are different lengths",1,"face is longer in sketch",1,"Hair and eyebrows seem to match",0,"Cheekbones seem to be the same angle",0
-0.5,"Exonerating",2.73871882086168,4,0,3,1.33958633958634,-1.72278911564626,0,"2",2,6,34,1,"11221",1,2025,4,15,"Mouth shape",1,"Hairstyle ",0,"Head shape",1,"Nose",0
0,"Control",-0.636281179138321,0,-1,2,-0.993746993746994,-0.472789115646259,-3.33333333333333,"1",2,4,62,2,"92307",4,2025,4,15,"eyebrows",0,"nose shape",1,"chin/face shape",1,"forehead",1
0.5,"Incriminating",-1.51128117913832,1,2,-1,-1.07708032708033,-1.72278911564626,-2,"1",2,5,31,2,"33594",2,2025,4,15,"glasses",0,"beard",0,"forehead",0,"nose",0
0.5,"Incriminating",-2.01128117913832,1,2,2,-1.32708032708033,-0.222789115646259,-0.33333333333333,"1",2,4,30,1,"28227",2,2025,4,15,"moustache",0,"eye width apart",0,"beard",0,"hairstyle",0
