"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_similarity","post_evidence_match","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","need_for_cognition_GMC","political_orientation","race","education","age","gender","which_stim","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code","observation5","observation5_code","observation6","observation6_code","observation7","observation7_code"
0.5,"Confess_Recant",-0.75098814229249,0,7,2,5.5,3.5,-0.552579365079366,0.885869565217392,-0.0344106021855346,0,"1,2,6",5,"21","1",1,"The ""I""s are similar",0,"The ""T""s are similar",0,"The slant of the words is similar",0,"The ""a""s are similar",0,"Spacing is similar",0,"Period is similar",0,"Diction is similar",0
-0.5,"Maintain_Innocence",0.87401185770751,-1,0,3,6.5,6.5,0.114087301587304,-0.864130434782608,0.377354103696815,0,"4",5,"22","2",2,"a",2,"e",2,"s",2,"l",2,"t",2,"y",2,"g",2
-0.5,"Maintain_Innocence",-1.12598814229249,0,-3,-2,-3.5,-3.5,0.114087301587304,0.760869565217392,-0.152057661009064,-1,"2",3,"18","2",2,"a, the a in exhibit B looked rounder and more fluid than exhibit A",1,"I, the I in exhibit A are disconnected, created by 3 distinct separate strokes, whereas exhibit B looks more connected.",1,"g, the g in exhibit A is longer, looser and rounder, the g in exhibit B is more controlled. ",1,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.25098814229249,-1,-5,-2,-3.5,2.5,1.19742063492063,1.13586956521739,-0.622645896303185,0,"4",4,"19","2",1,"Alphabets look different",1,"Space between letters is different",1,"The way he writes r is kind of unique so I'm not entirely sure. They're similar",1,"In the first one i is as tall as l",2,"But in the second one i is shorter than l",1,"Second one is more round",1,"The way he writes S is kind of suspicious though",2
0.5,"Confess_Recant",-0.37598814229249,1,-2,2,-2.5,-6.5,-0.802579365079366,-0.489130434782608,0.318530574285055,-2,"4",2,"19","1",1,"I compared the letters 's', 'g', 'I', and 'y'. While the other letters are mostly similar, these letters showed the most disparity among each sample.",0,"The letter 'g' is probably the most dissimilar here",2,"The spacing between each word is quite different",1,"The upper letter has all of the 'I's dotted, while those in the lower letter do not",2,"Writing in the upper letter is slightly slanted to the right, while that in the lower one is relatively upright",2,"The capital 'I' in each letter is very different",1,"the lower case 't' in each letter is very different",1
-0.5,"Maintain_Innocence",0.37401185770751,-1,-1,-2,-5.5,-6.5,-1.46924603174604,1.13586956521739,1.9067658684027,-1,"4",5,"21","1",2,"The second ""I"" in the first note seems to me quiet different from both ""I""s in the second note.",1,"The upward parts of the ""u""s in the first note are relatively straight, whereas the upward part of the ""u"" in the second note is relatively curved.",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.49901185770751,0,1,3,5.5,-4.5,0.780753968253965,1.76086956521739,-0.269704719832595,0,"4",3,"19","1",2,"s",2,"they are very similar in both paper",0,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.12401185770751,0,-4,1,-5.5,-5.5,0.780753968253965,0.385869565217392,-0.446175308067895,0,"4",3,"26","2",1,"The capital I is written differently ",1,"the spacing of the sentence ",2,"Exhibit B attends to extend the sentence instead of cutting it off.",2,"h from exhibit A(have) and B(this) is different",1,"The L's Seem to tilt on the opposite side",2,"writing front is bigger",1,"the letter S is written differently ",1
0.5,"Confess_Recant",0.87401185770751,0,0,1,-2.5,-3.5,NA,-0.989130434782608,1.37735410369682,-2,"4",5,"22","2",1,"some letters look very similar;",0," such as a or I, however not similar enough to make that assumption",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.12598814229249,0,0,3,3.5,-2.5,1.28075396825396,1.88586956521739,-0.387351778656125,-1,"4",5,"22","2",2,"Look at the individual letter such as “ a” “c”",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.12598814229249,-1,-4,-4,-8.5,-8.5,0.947420634920634,-1.73913043478261,0.612648221343875,0,"",NA,"","2",2,"The robber does not dot his lower case i but Mr.s Hines does",2,"The s's are different",1,"The y's are different",1,"The u's are different",1,"The a's are different",1,"",NA,"",NA
0.5,"Confess_Recant",0.87401185770751,1,0,-1,5.5,4.5,0.947420634920634,1.51086956521739,-0.681469425714945,1,"3,4",5,"21","1",1,"gun",2,"shoot",2,"cash",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.99901185770751,0,2,1,5.5,4.5,1.1140873015873,1.26086956521739,-0.210881190420835,0,"4",2,"22","1",1,"At",2,"Word ""I"" are very similar such as the lenght of the vertical and horizontal line on I ",0,"at - a is similar ",0,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.00098814229249,0,0,1,2.5,-2.5,-0.885912698412696,-0.114130434782608,-0.210881190420835,-2,"",5,"20","2",2,"I",2,"a",2,"e",2,"h",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.87598814229249,-1,-1,-2,-5.5,-6.5,1.19742063492063,1.13586956521739,0.847942338990935,0,"6",2,"19","2",1,"i observed the G and the differences on how theyre written",1,"the spacing of the words ",2,"the H and how it 2was written",2,"was a little stuck on the S because it seems to be the only thing similar ",0,"B has more sharp E than A",1,"",NA,"",NA
0.5,"Confess_Recant",0.12401185770751,-1,-2,-3,-1.5,-1.5,1.3640873015873,-0.864130434782608,-2.09323413159731,-1,"2",3,"19","2",2,"The ""I"" looks different in each note.",1,"The I looks different in the second note.",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.74901185770751,0,1,-1,-2.5,-2.5,0.197420634920634,0.760869565217392,0.377354103696815,0,"4",3,"18","2",2,"the letter “I”s look similar",0,"the  angle of the hand writing is not same",1,"the letter “a”s look similar",0,"m",2,"h",2,"c",2,"e",2
0.5,"Confess_Recant",-0.12598814229249,1,0,0,-4.5,3.5,1.3640873015873,0.385869565217392,-0.269704719832595,0,"1",2,"21","2",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.12401185770751,0,0,0,-4.5,-4.5,0.947420634920634,1.26086956521739,-0.622645896303185,-2,"4",5,"21","2",2,"I",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.00098814229249,0,0,-3,-4.5,-3.5,0.947420634920634,0.635869565217392,2.49500116252035,0,"2",5,"20","1",1,"Matching same letters of the alphabet and comparing ",0,"Because even though an individual can forge a different writing style, they may still be affected by muscle memory",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.00098814229249,-1,0,2,4.5,-5.5,-0.0525793650793656,-0.989130434782608,1.14205998604976,-2,"2",2,"19","2",1,"I do see similarities in which the g, u, a, o, s are uniquely written, and one could say that yes he knew to space it out different. However, what makes me believe he is guilty is he was found with no gun, or cash, unless there was an accomplice there must be more evidence besides him fitting a vague description, and slight handwriting similarities. ",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.37401185770751,0,-2,-2,-6.5,-3.5,0.197420634920634,-0.239130434782608,-0.328528249244365,0,"4",4,"21","1",1,"The handwriting of Exhibit B is compact, and there are cursive handwriting habits in Exhibit B. The letters and words in Exhibit A are more discontinuous and there is no cursive handwritings. ",1,"The 'g' and 'h' for the two exhibits are different. They are more casual and somewhat unfinished in Exhibit A, while in Exhibit B they are more formal. ",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.12598814229249,0,-1,-2,-6.5,-1.5,-0.135912698412696,0.135869565217392,0.318530574285055,-2,"1,4",3,"20","2",2,"e; in the first sample in the word ""keep,"" the e's are not connected. In the second sample in the word ""agree,"" the e's are connected.",2,"a; the a's in the first sample were taller, whereas they were flat in the second sample.",1,"t; the crosses in the t were higher up in the first sample and lower in the second sample",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.12401185770751,0,0,-3,-2.5,-3.5,0.447420634920634,1.38586956521739,0.906765868402696,-1,"4",2,"22","1",2,"a",2,"s",2,"o",2,"n",2,"i",2,"t",2,"d",2
0.5,"Confess_Recant",0.49901185770751,1,-5,-3,-6.5,-5.5,0.364087301587304,0.760869565217392,0.200883515461525,0,"4",3,"21","2",1,"It is obvious these two notes are from different people.",1,"The ways they write every letter are so different. ",1,"The note from bank looks like a person use left hand to write.",2,"Mr. Hines seem used his right hand.",2,"The way they write ""I"" is so different",1,"The space between each word is different in this two notes.",1,"The way they write ""h"" is so different",1
-0.5,"Maintain_Innocence",0.74901185770751,-1,0,-3,-1.5,-5.5,0.197420634920634,1.13586956521739,-0.799116484538475,-2,"6",3,"21","2",1,"The handwriting on the bottom is much neater.",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.25098814229249,0,0,3,6.5,6.5,-0.635912698412696,-0.489130434782608,-0.857940013950245,0,"2",3,"20","2",2,"a",2,"e",2,"I",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.62598814229249,-1,-6,-3,-6.5,-7.5,-1.3859126984127,-1.36413043478261,-0.446175308067895,-2,"1,6",2,"18","2",2,"The way he wrote certain letters",2,"I's are different in the notes",1,"E's are different",1,"T's are different",1,"K's are different",1,"A's are different",1,"O's are different",1
0.5,"Confess_Recant",0.24901185770751,1,-7,-2,-2.5,5.5,-1.30257936507937,-1.23913043478261,-0.975587072773775,-2,"1",3,"18","2",1,"the ee is different ",1,"u was different ",1,"I was different",1,"h was different ",1,"ll was different",1,"m was different ",1,"g was different",1
-0.5,"Maintain_Innocence",-0.75098814229249,-1,0,-3,-8.5,-7.5,-0.719246031746035,-1.73913043478261,1.73029528016741,-1,"2,6",3,"21","1",2,"The note is written very sloppily compared to sample, additionally the ""t""s on the note all have the sideways dash high up, while the sample has them either centered or lowered.",2,"t",2,"h",2,"g",2,"i",2,"e",2,"a",2
0.5,"Confess_Recant",-1.00098814229249,-1,0,-2,-5.5,-4.5,1.78075396825396,0.260869565217392,-0.681469425714945,1,"2",2,"19","1",1,"The way certain letters were written such as ""e"" and ""y""",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.37598814229249,0,-1,-3,-5.5,-5.5,-1.21924603174604,-1.73913043478261,-1.09323413159731,-2,"6",3,"19","5",2,"Capital letters, the capital letters in the bank note are significantly bigger than those in the police form",1,"I",2,"g",2,"K",2,"G",2,"h",2,"a",2
-0.5,"Maintain_Innocence",0.49901185770751,1,0,1,-5.5,-5.5,0.947420634920634,-0.114130434782608,-0.622645896303185,0,"4",2,"22","2",1,"Some of the letters don't match",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.62401185770751,-1,0,-1,-6.5,-5.5,1.1140873015873,0.135869565217392,0.142059986049755,1,"4",2,"18","2",1,"the l stroke",2,"the u difference",1,"straight and curve strokes",2,"spacing",2,"size of the letters",2,"writing alignment",2,"r looks a lil similar",0
0.5,"Confess_Recant",2.37401185770751,0,2,-3,4.5,4.5,0.780753968253965,1.38586956521739,-0.152057661009064,-2,"4",3,"18","2",1,"writing style",2,"similar letter spacing",0,"looks very similar at a glance",0," ",2," ",2," ",2," ",2
-0.5,"Maintain_Innocence",0.99901185770751,1,1,1,1.5,0.5,-1.46924603174604,-0.364130434782608,-1.21088119042084,-2,"4",2,"19","2",1,"The I's look similar",0,"s",2,"e",2,"t",2,"a",2,"l",2,"shoot",2
0.5,"Confess_Recant",0.37401185770751,1,-2,1,3.5,5.5,-0.302579365079366,-0.114130434782608,0.0832364566379953,-2,"4",3,"20","2",2,"I - looks different but one written at heightened emotion",1,"h- looks the same, same shape",0,"s- looks the same in some cases",0,"one seems to be written with a different pen/heavier strength",1,"m- looks different one has the stem one doesn't",1,"r - looks more rushed in first one",1,"ll - parallel",2
0.5,"Confess_Recant",1.24901185770751,-1,-4,-3,-6.5,-6.5,-0.885912698412696,-0.364130434782608,0.495001162520345,-2,"1",3,"19","2",1,"The r's in the first note are very different from the second",1,"In the second, he writes in much more of a straight line than in the first ",1,"However, the I in the first note is nearly identical to the I on the third line of the second note",1,"the a's are different",1,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.00098814229249,-2,0,1,-2.5,-7.5,-0.302579365079366,-0.239130434782608,0.965589397814465,-2,"4",5,"20","2",2,"I (uppercase i) looks different",1,"e the e's look similar",0,"a a looks similar ",0,"g looks very different ",1,"l (lowercase L) ",2,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.12598814229249,-1,-1,-2,-4.5,-4.5,-1.30257936507937,-1.11413043478261,0.200883515461525,-1,"1",5,"20","2",2,"I’m not a detective ",2,"A little different ",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.00098814229249,0,0,2,5.5,3.5,0.0307539682539648,-0.239130434782608,-0.622645896303185,-1,"4",4,"20","2",1,"The letters h and n and a",2,"Seeing if the style of the letters matched up",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.75098814229249,0,0,-2,-5.5,-5.5,-1.96924603174604,-0.989130434782608,-0.916763543362005,-3,"1",5,"21","2",2,"h",2,"e",2,"y",2,"t",2,"g",2,"m",2,"o",2
-0.5,"Maintain_Innocence",1.24901185770751,-1,0,1,-4.5,3.5,0.947420634920634,0.885869565217392,-0.387351778656125,0,"4",2,"18","2",1,"I",2,"the letter i seemed really similar",0,"overall i think he tried to write the form a bit different",1,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.87401185770751,1,2,4,6.5,6.5,2.53075396825396,2.63586956521739,0.965589397814465,2,"1",3,"20","2",1,"the way the ""s"" is curved was the same in both samples",0,"the way ""a"" was written was similar, although it fluctuated",0,"the ""g"" in both do not fully connect back at the top right",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.12401185770751,-1,0,-3,-7.5,-5.5,0.780753968253965,0.635869565217392,-0.740292955126715,-1,"4",5,"21","1",2,"i",2,"I",2,"t",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.25098814229249,0,-1,2,5.5,5.5,-1.21924603174604,-1.23913043478261,0.847942338990935,-2,"2",3,"20","2",1,"the way the letters I,a, n,k and h are written",2,"while I a  are not as distinct but similar, the way the letter in is written shows a disconnect similar to the letter h. The letter k is also similar in that the second part of the letters are curved like I( not I< if that makes since",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.12598814229249,-1,0,1,-6.5,-5.5,0.614087301587304,-1.11413043478261,-0.504998837479655,-1,"2",3,"20","2",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,2,1,1,6.5,5.5,1.03075396825396,1.51086956521739,-0.857940013950245,1,"4",3,"19","2",2,"Letter a seems similar",0,"Also, he could have changed his handwriting while writing the confession in order to pretend that he didn't write the to bery note",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.37598814229249,-1,-3,1,-3.5,-5.5,-0.635912698412696,0.760869565217392,0.847942338990935,-3,"2",2,"20","2",1,"The h's, t's, and spacing between the words",2,"The letters are slightly different from each other ",1," I think he is not guilty  ",2,"although some letter present similar,It is two different hand writings. ",2,"there is spacing between the letters and words",2,"There are more letters different than simular",1,"The A's, M,s, and more are different",1
0.5,"Confess_Recant",-0.62598814229249,0,-1,-2,-3.5,2.5,-0.802579365079366,-0.614130434782608,-1.85794001395024,-1,"4",3,"20","2",2,"The handwritten bank note has a more curved loopy style of writing that looks much fancier than the informal scratchy form written by Mr. Hines  ",1,"g",2,"h",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",2.37401185770751,-1,0,-2,-5.5,-3.5,1.6140873015873,2.13586956521739,-0.504998837479655,0,"4",2,"19","1",2,"G",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.87401185770751,-1,-1,1,-5.5,3.5,0.864087301587304,1.38586956521739,-0.446175308067895,2,"1,6",2,"18","2",1,"it looks slightly the same but not really",1,"a lot of people have this hANDWRITING",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.25098814229249,2,0,-1,-6.5,-6.5,1.03075396825396,-0.114130434782608,-0.0932341315973053,-2,"6",2,"19","2",1,"The wording ",2,"The way the letters were written",2,"space in between",2,"the ""I""",2,"Scene ",2,"reasoning ",2,"style",2
-0.5,"Maintain_Innocence",-2.12598814229249,-2,-2,1,-6.5,-7.5,3.3640873015873,1.26086956521739,0.0832364566379953,2,"1",3,"19","1",1,"e's look similar ",0,"the h's are very different ",1,"the r's are very different ",1,"the l's lean two different ways in both. ",1,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.87401185770751,1,0,1,5.5,6.5,0.864087301587304,-0.114130434782608,0.0244129272262255,0,"4",5,"20","1",2,"Certain letters like exactly the same such as ""S"", ""A"" and it is understandable that they are slightly different due to the different situation he wrote two papers.",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.12598814229249,-1,-1,0,-4.5,-4.5,-0.0525793650793656,-0.739130434782608,-1.44617530806789,0,"4",NA,"20","2",2,"The way robber writes “Y” is different from Mr. Hines’",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.000988142292490224,-1,-4,-2,-5.5,-6.5,-2.1359126984127,-1.61413043478261,1.20088351546153,-3,"1,4",3,"18","2",2,"I compared the letters to each other and found various inconsistencies ",2,"the I's are not slanted in the second note yet in the first note they are slanted despite lines to write on ",2,"The h's have more of an arch in the second note",1,"the dash across the t is placed lower on the second note than the first one ",1,"The r is more pronounced in the second note ",1,"the lower case g's are fatter in the second note",2,"the lettering is more spaced out in the second note ",1
0.5,"Confess_Recant",0.24901185770751,-1,-5,-4,-6.5,-8.5,-1.1359126984127,-0.114130434782608,-1.97558707277377,-2,"6",2,"19","2",1,"The spacing between the letters and words is different between both writing samples.",1,"How Mr. Hines writes the letter ""e"" is not similar to the perpetrator's handwriting ",1,"Mr. Hines' and perpetrator's writing the letter ""g"" is not the same, the Perpetrator's g has a gap while Mr. Hines closes his g.",1,"Mr.Hines connects the vowels to his ""n"", the perpetrator leaves gaps between each letter. ",2,"Sentence structure, the perpetrator makes short sentences while Mr.Hines makes a long sentence.",2,"The way that the letter ""y"" is written is very different between perpetrator and Mr. Hines.",1,"The way that the letter ""m"" is written is also different, the perpetrator put it in capital M and Mr.Hines didn't do that. ",1
-0.5,"Maintain_Innocence",-1.75098814229249,-2,-1,1,-6.5,-6.5,-1.30257936507937,-0.364130434782608,2.083236456638,-2,"4",5,"21","1",1," I compared the I's used as well as the spacing. I checked and though similar, it seemed even similar to my handwriting and thus showed enough differences.",2,"The r difference",1,"Spacing between words",2,"Spacing between the L's",2,"L leans left not right",2,"Connection between letters for words",2,"Dotted I",2
0.5,"Confess_Recant",0.12401185770751,0,-3,-2,-4.5,-4.5,-0.885912698412696,-0.114130434782608,0.259707044873285,-2,"1",2,"20","1",2,"Lowercase ts are very dissimilar",2,"Kerning is different ",1,"Lowercase rs are moderately different",1,"Lowercase as are moderately different",1,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.12401185770751,0,0,1,2.5,2.5,0.947420634920634,0.385869565217392,-0.857940013950245,-2,"4",5,"19","2",1,"the letter ""a""",2,"the way of writing ""y""",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.75098814229249,2,1,-3,-5.5,6.5,-0.135912698412696,0.0108695652173916,-0.152057661009064,0,"4",2,"20","2",2,"e and u",2,"The way he connects the letter e and u are very similar",0,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",1.24901185770751,-1,2,2,2.5,-2.5,0.364087301587304,-0.364130434782608,0.259707044873285,-1,"1",2,"22","1",2,"I, similar",0,"s, similar",0,"",NA,"",NA,"",NA,"",NA,"",NA
