observation1,observation1_code,observation2,observation2_code,observation3,observation3_code,observation4,observation4_code,observation5,observation5_code,observation6,observation6_code,observation7,observation7_code
The lowercase h in the handwriting sample was notably different from that one in the note.,1,There was also a difference in the lowercase g.,1,The lowercase a was also different in the sample compared to the note.,1,The spacing between lines was greater in the note than in the sample .,1,No more opinions,2,No more opinions,2,The evidence of the handwriting does not lead me to believe that Mr. Hines committed the crime.,2
I belive that the suspect is gulty but I dont belive there is enough concrete evidence meaning he should be able to walk,2,,NA,,NA,,NA,,NA,,NA,,NA
The starting point of the letter O,2,Mr Hines' O starts from the top while the robber's O starts from the left hand bottom,1,,NA,,NA,,NA,,NA,,NA
The fact that he wrote at an angle in A but without lined paper wrote perfectly straight in B. Also no mention of police finding the gun or money.,1,a,2,t,2,l,2,e,2,I,2,h,2
"The g's, s's and the c's do not aligned and I am sure that his alliable can be proven with video footage.",1,"he g's, s's and the c's do not aligned and I am sure that his alliable can be proven with video footage.",1,,NA,,NA,,NA,,NA,,NA
"The lowercase ""g"" because it is written completely different in the two notes",1,g,2,y,2,a,2,,2,,2,,2
Text has a moodboard when they are written,2,"A is stronger, we can feel that the robber is really wild and nervous",1,"B is more normal, with different temperament than A",1,,NA,,NA,,NA,,NA
"The way the ""h"" and ""I"" were written and the general similarity between the shapes of the letters",0,The letters look similar and they have similar spacing,0,,NA,,NA,,NA,,NA,,NA
"The letter I indicated show to be much different from each other on the two notes. The ""y"" in the bottom note is written in one shot, no lift of the pen, while the ""y"" written by the robber is written through separated pen strokes. The lowercase ""g""'s differ in that the top written sample has a more extended and exaggerated end of the ""g"" while the bottom sample is not as exaggerated. Finally, the letter ""t""'s differ in that the ones written in the sample on the bottom have a perpendicular stroke to the vertical portion of the t, more towards the middle or bottom of the letter, while in the first sample provided the stroke is more towards the top of the vertical line. Therefore, they are not the same, similar yes, but noticeably different.  ",1,"The letter ""y""(lowercase)",2,"The Letter ""g"" (lowercase)",2,"The letter ""t""",2,"The letters ""a"" ",2,"The letter ""r""",2,"The letter ""m""",2
The way he spells his “a” is the same,0,The way he spells his “s” is the same,0,The way he spells his “h” is the same,0,Both of the samples seem to be a in a more formal tone,0,The way he spells his “t” is the same,0,The way he spells his “o” is the same,0,The way he spells his “r” is the same,0
g and k and r,2,The g's and k's were really similiar. Especially the g.,0,,NA,,NA,,NA,,NA,,NA
the letter 'I' tilts in a similar fashion,0,the letter 'a' is similar,0,the proportional size of the letter 'I' to the rest of the letters are similar as well,0,,NA,,NA,,NA,,NA
"The letter shaping, word spacing, and letter slant",2,"Exhibit B writes ""k"" with more straight branches from the main line. ",1,"The ""I's"" are more straight in Exhibit B than A, which are more angled",1,"The ""L's"" in A slant right while the ""L's"" in B slant left.",1,"The left leg of the ""h"" in Exhibit A is constantly higher than the right leg. This is not seen in Exhibit B.",1,The spacing between words is less.,1,The spacing between lines is less,1
e,2,g,2,t,2,u,2,h,2,l,2,k,2
the 'h's,2,how he writes his a's,2,the 's's,2,,NA,,NA,,NA,,NA
"The letters that are repeated so majority of the vowels, ",2,A,2,E,2,I,2,O,2,U,2,T,2
I,2,K,2,h,2,y,2,r,2,,NA,,NA
writing style,2,space between each word,2,,NA,,NA,,NA,,NA,,NA
handwriting slightly dissimilar; too rounded.,1,not guilty plea,2,"finally, teller and customer were doubtful in their statements",2,maybe even prejudice,2,,NA,,NA,,NA
Style of writing and letters,2,Way of writing letters were different especially the Gs,1,The bottom is perfectly lined together and neat the one on top is not,1,,NA,,NA,,NA,,NA
"letter g, r, and s, general skewness of the writing; but letter l, m and t",2,"There are some similarities that are hard to overlook, like how some letters like l, m, and t are writte.",0,But A has distinct s that are quite different from B,1,"B looks more neat and less skewed, but given the condition it's reasonable.",1,"However, if Hines was guilty, he might know his handwriting would be compared. Therefore, he might not use his normal handwriting and B would look drastically different from A. Therefore, the similarity is suspicious.",0,,NA,,NA
certain reoccurring letters in both that do not match. If they are reoccuring in bth that means its harder to fake the handwriting which menas that two different people wrote those lettters.,1,,NA,,NA,,NA,,NA,,NA,,NA
"The shape of the letters seemed incredibly similar, which is what",0,"ultimately guided my opinion. However, the slant of the bank ",2,"note is not visible in the police form, which makes me slightly",2," less confident. Nonetheless, I assume that the slant could be ",2,due to the writer being in a rush or determined by some emotion,2," that was different at the time of writing the police form, whereas ",1,the shape of the letters being the same seems harder to account for.,0
space between words,2,period sign,2,how they write the letters,2,size of the words,2,,NA,,NA,,NA
spacing between words did not match up,1,spacing between letters in words did not match up,1,some letters in Exhibit B were connected such as the 'de' in 'understand' and 're' in 'remain' and that did not show up in exhibit A,1,the direction the letters tilt are different. they tilt more to the right in exhibit A,1,the m in 'me' in exhibit A starts with a down stroke and that is not as obvious in the m in 'my' in exhibit b,1,the horizontal stroke in lowercase t is lower in exhibit B,1,letters in exhibit A look more shallow/wider,1
"The ""I"" is written differently.",1,The spacing between each word is inconsistent in the two notes.,1,The handwriting is significantly different. the latter is much neater,1,,NA,,NA,,NA,,NA
"The letters ""e"" in both notes are very similar, with a ""squished"" effect",0,"The capitalized ""I"" in both notes are also similar, with a wide top and Bottom, and a slight slant.",0,"The ""a"" in each note share similarities in height and shape. ",0,"The ""r"" in both notes also share similarities in the almost v shape that they assume. Therefore, I recognize the similarities in the handwriting, but I think that the rest of the case's context points to a verdict of ""not guilty;"" thus, I determined that the similarities are by chance and the notes are not written by the same person.",0,,NA,,NA,,NA
I,2,e,2,t,2,y,2,k,2,w,2,r,2
The letter 'l',2,"It tilts to one side in the robbery note, and the other side in the handwriting form, indicating different hands being used probably?",1,,NA,,NA,,NA,,NA,,NA
The letter I appears the same in both.,0,The letter r looks the same in both.,0,The e is similar.,0,The t is similar.,0,The h is quite similar.,0,The a's are structured similarly.,0,The m is similar in both.,0
"""I"" is written in a relatively bigger size",1,"""s"" looks similar",0,"""y"" looks similar",0,"but ""u"" is bit differnt",1,,NA,,NA,,NA
Letter density,2,the two samples have a very different letter density and vertical to,1,"horizontal ratio. Though many letters have a similar formation, ",0,"The writing in exhibit B is taller, denser, and more bubbly than",1,"anything in A. It could be his handwriting, but I didn't find the samples",2,conclusive enough to say it absolutely is.,2,,NA
letter“g” I think that's different,1,letter“t“ is different,1,”I“,2,”r“,2,”e“,2,”m“,2,”l“,2
"Many letters, such as y, are written the same.",0,Handwriting,2,Alliby,2,Nervousness,2,Lineup,2,Identification,2,Guilt,2
g not being fully closed,2,Curvature of the r,2,,NA,,NA,,NA,,NA,,NA
"G - they look dissimilar, especially the curvature at the end",1,Uppercase I - bank robbery note I has lines that extend past each other while the handwriting has them strictly touching,2,"The bank robbery note handwriting is more vertical, waiver is more horizontal",1,"Bank robbery note - first letters of each word are typically much larger than the rest, not the case for the waiver",1,,NA,,NA,,NA
letter shape,2,I looked at certain letters like S or G and tried to compare how similar they were.,0,,NA,,NA,,NA,,NA,,NA
The way the letters are written and the spacing of the words look different,1,"In the exhibit A the words are more far apart and in the Exhibit B the words are closer together. Also the style/font of the letters are different. In exhibit B, the dependent tends to connect his “e’s” to other letters and in exhibit A the e’s are mainly separate. ",1,,NA,,NA,,NA,,NA,,NA
Spacing between the words,2,"The consistency of the ""I"" in the second letter compared to the first",2,The shape of the m,2,The letters on top are slightly more right leaning,1,"The ""e"" in the second letter is almost always connected to the letter before it",2,"The shape of the ""h""",2,"The shape of the ""r""",2
"both seem to write a bit sloppy, not closing g's consistently",0,the way the period is written next to the last word seems similar,0,"the ""w""s in will and lawyer are very similar",0,the I's are very similar,0,"overall the text looks physically similar, writing style and how deep the ink on the letters is",0,"the way the above note is written is very ""polite"", the bottom note is also written this way using periods corerectly in both.",0,writes very tall l's,2
looking at the k,2,how the I are written,2,,NA,,NA,,NA,,NA,,NA
The r's are different.,1,The u's are slightly different.,1,The t's are different.,1,The I's are slightly different.,1,The h's are different,1,The dots in the i's are slightly different.,1,The L's in each note slant in opposite directions.,1
"The writing style is completely different, you can see it with the elongation differences of the letters as well as the way the first one crosses the I's or slashes the T's, honestly every letter is different from the two. ",1,I,2,K,2,T,2,g,2,o,2,r,2
The size of the letters and the cursive nature,2,The bank note appears to be written in large letters and the person writing it has slightly cursive handwriting which is not resembled by Mr.Hines' note,1,The letter l is different,1,the spacing of the words,2,the letter a,2,cursive nature,2,how straight the line is,2
The way the I's are written are diffrent one is more straight the other is slanted,1,The letter S is also different in how its written,1,the letter a is also different the line is a bit longer in the second letter,1,the two LLs are written closer together in the second letter,1,The h is also not simular,1,i was unsure because the u was simular,2,the e is different,1
Articulation of words,2,punctuation,2,first writing looks almost cursive,2,,NA,,NA,,NA,,NA
I saw the way that Hines wrote his c's and the 2 exhibits had awfully similar c's,0,The tilted I's,2,The a's,2,the comic sans format,2,the r's,2,the t's,2,the o's,2
The letter l as well A are similar from both exhibitions,0,The space between each word are  almost the same from two exhibits,0,The format are similar,0,None,2,None,2,None,2,None,2
"the letter i, the way he draws the dot is dissimilar to the first letter",1,The overall handwriting is different,1,The spacing is different too,1,the letter r are different,1,the bottom sample is more put together and concise,1,the letter e is written different,1,k is written differently,1
"the way the ""r"" was written",2,and there's no specific letter that they write in total different way,0,"the way the ""n"" was written",2,,NA,,NA,,NA,,NA
G,2,Q,2,u,2,r,2,a,2,n,2,o,2
the letter i is different,1,the letter a is different,1,the words are sloppier on the first one then the second,1,the letter g is the same,0,the un next to each other are different,1,the r is different,1,the e is also different,1
